AX,AY,AZ,GX,GY,GZ,Type
-6.01,3.63,-6.72,0.0,0.02,-0.01,1.0
-5.96,3.64,-6.7,0.0,0.02,-0.01,1.0
-5.79,3.15,-7.07,0.0,0.02,-0.01,1.0
-5.82,2.95,-7.08,-0.01,0.02,-0.01,1.0
-5.76,3.16,-7.06,0.0,0.02,-0.01,1.0
-5.81,3.1,-7.08,0.0,0.01,-0.01,1.0
-5.83,3.1,-7.12,-0.01,0.02,-0.01,1.0
-5.81,3.12,-7.11,0.0,0.02,-0.01,1.0
-5.8,3.05,-7.09,0.0,0.02,-0.01,1.0
-5.8,3.1,-7.1,0.0,0.02,-0.01,1.0
-5.82,3.1,-7.1,0.0,0.02,-0.01,1.0
-5.8,3.12,-7.09,0.0,0.02,-0.01,1.0
-5.8,3.11,-7.09,0.0,0.01,-0.01,1.0
-5.8,3.09,-7.09,0.0,0.02,-0.01,1.0
-5.87,3.33,-6.89,0.0,0.01,-0.01,1.0
-5.88,3.33,-6.95,-0.01,0.02,-0.01,1.0
-5.89,3.31,-6.95,0.0,0.01,-0.01,1.0
-5.85,3.33,-6.95,0.0,0.02,-0.01,1.0
1.0,3.98,-8.71,-0.01,0.02,-0.01,0.0
1.0,3.99,-8.72,0.0,0.02,-0.01,0.0
0.8,6.17,-7.44,0.0,0.02,-0.01,0.0
0.74,6.15,-7.42,-0.01,0.02,-0.01,0.0
0.77,6.0,-7.54,0.0,0.02,-0.01,0.0
1.03,4.29,-8.61,0.0,0.01,-0.01,0.0
1.01,4.22,-8.61,0.0,0.02,-0.01,0.0
1.01,4.19,-8.62,0.0,0.02,-0.01,0.0
1.03,4.2,-8.62,0.0,0.01,-0.01,0.0
1.02,4.22,-8.63,0.0,0.01,-0.01,0.0
1.04,4.17,-8.65,0.0,0.01,-0.01,0.0
1.04,4.21,-8.61,0.0,0.01,-0.01,0.0
1.22,3.3,-9.0,0.0,0.01,-0.01,0.0
1.21,3.32,-8.98,0.0,0.01,-0.01,0.0
1.12,3.26,-9.0,0.0,0.01,-0.01,0.0
1.59,0.09,-9.39,0.0,0.02,-0.01,0.0
1.64,0.04,-9.42,0.0,0.02,-0.01,0.0
1.64,0.05,-9.43,0.0,0.02,-0.01,0.0
1.64,0.03,-9.45,0.0,0.01,-0.01,0.0
1.64,0.07,-9.43,0.0,0.02,-0.01,0.0
1.62,0.04,-9.43,0.0,0.02,-0.01,0.0
1.64,0.05,-9.45,0.0,0.02,-0.01,0.0
1.66,0.0,-9.46,0.0,0.01,-0.01,0.0
1.59,0.02,-9.43,0.0,0.01,-0.01,0.0
1.67,0.09,-9.43,0.0,0.02,0.0,0.0
1.64,0.09,-9.44,0.0,0.02,-0.01,0.0
1.66,0.06,-9.44,0.0,0.01,-0.01,0.0
1.64,0.12,-9.48,0.0,0.01,-0.01,0.0
1.62,0.1,-9.46,0.0,0.02,-0.01,0.0
1.6,0.11,-9.46,0.0,0.01,-0.01,0.0
1.57,0.16,-9.47,0.0,0.01,-0.01,0.0
1.61,0.11,-9.47,0.0,0.02,-0.01,0.0
1.64,0.09,-9.45,0.0,0.02,-0.01,0.0
1.6,0.12,-9.45,0.0,0.02,-0.01,0.0
1.62,0.12,-9.46,0.0,0.02,-0.01,0.0
1.42,0.08,-9.5,0.0,0.02,-0.01,0.0
1.45,0.13,-9.48,0.0,0.02,-0.01,0.0
1.44,0.18,-9.47,-0.01,0.01,-0.01,0.0
1.35,-1.45,-9.36,-0.01,0.02,-0.01,0.0
