AX,AY,AZ,GX,GY,GZ,Type
0.48,4.65,-8.44,0,0.02,-0.01,0
0.49,4.67,-8.43,0,0.01,-0.01,0
0.47,4.68,-8.45,0,0.01,-0.01,0
0.47,4.68,-8.43,0,0.01,-0.01,0
0.48,4.68,-8.44,0,0.02,-0.01,0
0.49,4.67,-8.43,0,0.02,-0.01,0
0.5,4.67,-8.44,0,0.01,-0.01,0
0.48,4.67,-8.43,0,0.02,-0.01,0
0.47,4.68,-8.44,0,0.02,-0.01,0
0.47,4.68,-8.44,0,0.01,-0.01,0
0.49,4.67,-8.43,0,0.02,-0.01,0
0.5,4.67,-8.43,0,0.01,-0.01,0
0.49,4.69,-8.43,0,0.02,-0.01,0
0.49,4.68,-8.46,0,0.02,-0.01,0
0.48,4.68,-8.44,0,0.01,-0.01,0
0.48,4.69,-8.43,0,0.01,-0.01,0
0.49,4.68,-8.44,0,0.02,-0.01,0
0.49,4.7,-8.43,0,0.01,-0.01,0
0.49,4.67,-8.43,0,0.01,-0.01,0
0.49,4.69,-8.43,0,0.02,-0.01,0
0.47,4.68,-8.44,0,0.01,-0.01,0
0.49,4.69,-8.43,0,0.02,-0.01,0
0.47,4.69,-8.44,0,0.01,-0.01,0
0.48,4.68,-8.44,0,0.01,-0.01,0
0.49,4.68,-8.42,0,0.01,-0.01,0
0.49,4.69,-8.44,0,0.01,-0.01,0
0.49,4.66,-8.43,0,0.01,-0.01,0
0.47,4.69,-8.43,0,0.02,-0.01,0
0.51,4.67,-8.43,0,0.02,-0.01,0
0.49,4.69,-8.43,0,0.02,-0.01,0
0.48,4.7,-8.43,0,0.02,-0.01,0
0.51,4.69,-8.45,0,0.02,-0.01,0
0.48,4.68,-8.43,0,0.02,-0.01,0
1.51,1.25,-9.38,-0.45,0.11,-0.21,0
0.91,3.72,-8.87,0,0.02,-0.01,0
0.91,3.77,-8.86,0,0.02,-0.01,0
0.91,3.76,-8.83,0,0.02,-0.01,0
0.95,3.77,-8.85,0,0.01,-0.01,0
1.01,3.82,-8.8,-0.01,0.01,-0.01,0
0.98,3.84,-8.79,0,0.02,-0.01,0
1,3.84,-8.8,0,0.01,-0.01,0
1,3.84,-8.79,0,0.01,-0.01,0
1.02,3.86,-8.79,0,0.01,-0.01,0
1,3.85,-8.8,0,0.02,-0.01,0
1.01,3.85,-8.77,0,0.02,-0.01,0
1.01,3.84,-8.78,0,0.01,-0.01,0
1.02,3.86,-8.8,0,0.02,-0.01,0
1,3.87,-8.76,0,0.02,-0.01,0
1,3.86,-8.78,0,0.01,-0.01,0
1.02,3.86,-8.76,0,0.02,-0.01,0
1.02,3.87,-8.78,0,0.01,-0.01,0
1.01,3.86,-8.77,0,0.02,-0.01,0
1,3.86,-8.77,0,0.01,-0.01,0
1.03,3.87,-8.78,0,0.01,-0.01,0
1.01,3.88,-8.76,0,0.02,-0.01,0
1.01,3.86,-8.77,0,0.01,-0.01,0
1,3.87,-8.78,0,0.02,-0.01,0
1.02,3.86,-8.75,0,0.02,-0.01,0
1,3.88,-8.77,0,0.01,-0.01,0
1.01,3.88,-8.78,0,0.01,-0.01,0
1.01,3.89,-8.78,0,0.01,-0.01,0
1.04,3.88,-8.78,0,0.01,-0.01,0
1.02,3.9,-8.77,0,0.01,-0.01,0
1.02,3.9,-8.76,0,0.02,-0.01,0
1.03,3.88,-8.78,0,0.01,-0.01,0
1.04,3.78,-8.82,0,0,0.05,0
1.74,4.71,-8.24,0,0.02,-0.01,0
1.72,4.71,-8.24,0,0.01,-0.01,0
1.75,4.72,-8.22,0,0.01,-0.01,0
1.72,4.74,-8.23,0,0.01,-0.01,0
1.74,4.72,-8.24,0,0.01,-0.01,0
1.76,4.74,-8.23,0,0.02,-0.01,0
1.75,4.72,-8.23,0,0.02,-0.01,0
1.75,4.73,-8.22,0,0.02,-0.01,0
1.75,4.74,-8.23,0,0.02,-0.01,0
1.73,4.71,-8.2,0,0.02,-0.01,0
1.74,4.74,-8.2,0,0.01,-0.01,0
1.77,4.75,-8.21,0,0.01,-0.01,0
1.75,4.75,-8.24,0,0.01,-0.01,0
1.8,5.62,-7.7,0,0.02,-0.01,0
2.47,6.65,-6.6,-0.01,0,-0.01,0
6.54,-6.25,-3.46,-0.01,0.01,-0.01,1
6.55,-6.22,-3.43,0,0.01,-0.01,1
6.52,-6.26,-3.47,-0.01,0.02,-0.01,1
6.54,-6.25,-3.44,0,0.01,-0.01,1
6.55,-6.2,-3.48,-0.01,0.02,-0.01,1
6.58,-6.22,-3.46,-0.01,0,0,1
6.49,-6.25,-3.49,0,0.02,-0.01,1
6.49,-6.25,-3.44,0.01,0.02,-0.01,1
6.51,-6.24,-3.48,0,0.02,-0.01,1
6.5,-6.23,-3.47,-0.01,0.01,-0.01,1
6.51,-6.28,-3.48,0,0.02,-0.01,1
6.5,-6.25,-3.46,0,0.01,-0.01,1
6.49,-6.25,-3.51,0,0.01,0,1
6.54,-6.24,-3.52,-0.01,0.02,-0.01,1
6.64,-6.14,-3.37,0,0.02,-0.01,1
6.67,-6.13,-3.36,0,0.01,-0.01,1
6.66,-6.16,-3.4,0,0.01,-0.01,1
6.7,-6.14,-3.37,0,0.02,-0.01,1
6.66,-6.14,-3.36,0.01,0.01,-0.01,1
6.65,-6.16,-3.43,-0.01,0.01,0,1
6.68,-6.16,-3.32,-0.02,0.02,-0.01,1
6.69,-6.15,-3.29,0,0.02,-0.01,1
6.68,-6.16,-3.35,0,0.01,-0.01,1
6.65,-6.16,-3.33,0,0.02,-0.01,1
6.67,-6.14,-3.33,-0.01,0.01,-0.01,1
6.66,-6.13,-3.35,-0.01,0.01,-0.01,1
6.66,-6.15,-3.35,-0.01,0.02,-0.01,1
6.66,-6.15,-3.37,-0.01,0.02,-0.01,1
6.62,-6.15,-3.35,0,0.02,-0.01,1
6.64,-6.17,-3.35,0,0.02,-0.01,1
6.65,-6.14,-3.35,-0.01,0.02,-0.01,1
6.66,-6.13,-3.35,0,0.02,-0.01,1
6.65,-6.14,-3.34,0,0.02,-0.01,1
6.66,-6.16,-3.35,0,0.02,-0.01,1
6.64,-6.15,-3.39,-0.02,0.02,-0.01,1
6.7,-6.13,-3.32,0,0.02,-0.01,1
6.62,-6.16,-3.36,0,0.02,-0.01,1
6.64,-6.16,-3.35,0,0.02,-0.01,1
6.61,-6.21,-3.35,0,0.02,-0.01,1
6.6,-6.21,-3.35,0,0.02,-0.01,1
6.62,-6.13,-3.42,-0.01,0.02,-0.01,1
6.59,-6.2,-3.38,-0.01,0.01,-0.01,1
6.61,-6.19,-3.36,0,0.02,-0.01,1
6.6,-6.2,-3.37,0,0.02,-0.01,1
6.63,-6.24,-3.38,-0.01,0.02,-0.01,1
6.59,-6.22,-3.35,0,0.01,0,1
6.61,-6.22,-3.38,0,0.02,-0.01,1
6.6,-6.21,-3.33,0,0.01,-0.01,1
6.64,-6.17,-3.38,0,0.02,-0.01,1
6.62,-6.19,-3.37,0,0.02,-0.01,1
6.59,-6.18,-3.37,-0.01,0.02,-0.01,1
6.61,-6.21,-3.35,0,0.02,-0.01,1
6.64,-6.19,-3.37,0,0.02,-0.01,1
6.62,-6.21,-3.36,0.01,0.01,0,1
6.61,-6.19,-3.36,0,0.02,-0.01,1
6.64,-6.18,-3.35,0,0.01,-0.01,1
6.61,-6.19,-3.35,-0.01,0.02,-0.01,1
6.66,-6.17,-3.34,0,0.02,-0.01,1
6.63,-6.16,-3.37,0,0.01,-0.01,1
6.64,-6.19,-3.34,0,0.01,-0.01,1
6.64,-6.15,-3.32,0,0.02,-0.01,1
6.64,-6.18,-3.36,0,0.01,-0.01,1
6.63,-6.19,-3.4,-0.01,0.02,-0.01,1
6.64,-6.2,-3.35,0,0.02,-0.01,1
6.64,-6.18,-3.36,-0.01,0.02,-0.01,1
6.63,-6.19,-3.34,0,0.02,-0.01,1
-1.63,-6.4,-7.13,-0.29,0.48,-0.3,2
-0.25,-0.9,-9.57,-0.01,0.01,-0.01,2
2.13,-0.78,-9.66,0.5,-0.4,0.85,2
-0.78,-3.13,-9.15,0.13,0.38,0.75,2
-2.04,-2.9,-9.89,-0.04,-1.14,-1.05,2
-3.52,-1.77,-9.49,-0.32,-0.04,-0.19,2
7.89,1.45,4.47,-0.18,-0.07,-0.03,2
0.56,-0.06,-9.59,-0.01,0.02,-0.01,2
0.45,-0.21,-9.58,0,0.01,-0.01,2
0.39,-0.23,-9.58,0,0.02,-0.01,2
