AX,AY,AZ,GX,GY,GZ,Type
2.8,1.69,-9.03,0.0,0.01,-0.01,3.0
1.64,0.0,-9.43,0.0,0.02,-0.01,0.0
2.8,1.68,-9.03,0.0,0.01,-0.01,3.0
2.83,1.7,-9.05,0.0,0.01,-0.01,3.0
2.79,1.7,-9.04,0.0,0.01,-0.01,3.0
2.81,1.68,-9.03,0.0,0.01,-0.01,3.0
2.81,1.69,-9.05,0.0,0.01,-0.01,3.0
4.77,4.66,-7.35,-0.36,-0.14,-0.76,4.0
2.82,1.69,-9.04,0.0,0.02,-0.01,3.0
-3.82,-1.23,-8.73,0.0,0.01,-0.01,4.0
-9.4,2.23,-1.51,0.0,0.01,-0.01,1.0
2.35,2.76,-8.92,0.0,0.02,-0.01,0.0
2.81,1.69,-9.06,0.0,0.01,-0.01,3.0
-3.47,-1.95,-4.06,6.84,-6.4,-4.63,4.0
-5.95,2.84,-7.08,0.0,0.02,-0.01,1.0
2.8,1.71,-9.05,0.0,0.01,-0.01,3.0
1.63,-3.5,-9.56,0.01,0.71,-0.05,2.0
-6.61,-2.62,-6.62,-0.31,0.38,-0.02,4.0
2.81,1.68,-9.01,0.0,0.01,-0.01,3.0
-6.03,3.67,-6.64,0.0,0.02,-0.01,1.0
1.63,0.04,-9.44,0.0,0.02,-0.01,0.0
2.81,1.67,-9.05,0.0,0.01,-0.01,3.0
-6.72,3.38,-6.14,0.0,0.02,-0.01,1.0
6.63,-6.16,-3.37,0.0,0.01,-0.01,1.0
2.83,1.68,-9.04,0.0,0.01,-0.01,3.0
2.81,1.71,-9.03,0.0,0.01,-0.01,3.0
2.82,1.7,-9.05,0.0,0.01,-0.01,3.0
-0.93,4.79,-8.29,0.0,0.01,-0.01,0.0
2.8,1.7,-9.05,0.0,0.01,-0.01,3.0
2.79,1.69,-9.04,0.0,0.01,-0.01,3.0
-1.93,6.64,-6.81,0.0,0.01,-0.01,0.0
2.65,2.26,-8.96,0.0,0.01,-0.01,0.0
2.82,1.69,-9.06,0.0,0.01,-0.01,3.0
2.83,1.69,-9.05,0.0,0.01,-0.01,3.0
2.13,1.69,-9.21,0.0,0.02,-0.01,0.0
2.82,1.67,-9.01,0.0,0.01,-0.01,3.0
2.65,-2.64,-8.87,0.44,0.19,-0.07,2.0
-5.84,3.51,-6.89,0.0,0.01,-0.01,1.0
2.82,1.7,-9.05,0.0,0.01,-0.01,3.0
1.04,4.21,-8.57,-0.01,0.01,-0.01,0.0
-9.45,2.29,-1.39,0.0,0.01,-0.01,1.0
2.81,1.68,-9.04,0.0,0.02,-0.01,3.0
-0.93,4.81,-8.33,0.0,0.02,-0.01,0.0
2.82,1.68,-9.04,0.0,0.01,-0.01,3.0
6.63,-6.24,-3.38,-0.01,0.02,-0.01,1.0
2.82,1.7,-9.03,0.0,0.01,-0.01,3.0
1.65,0.02,-9.42,0.0,0.02,-0.01,0.0
1.14,0.84,-9.03,0.7,0.72,0.15,2.0
-0.36,5.62,-7.9,-0.01,0.0,-0.01,0.0
2.79,1.69,-9.05,0.0,0.01,-0.01,3.0
2.82,1.68,-9.03,0.0,0.02,-0.01,3.0
2.81,1.69,-9.05,0.0,0.02,-0.01,3.0
2.81,1.69,-9.05,0.0,0.01,-0.01,3.0
2.22,5.57,-7.55,-0.02,0.02,-0.01,2.0
-2.76,7.44,-6.13,-1.12,-0.27,-0.32,4.0
-2.7,-1.97,-9.03,0.0,0.02,-0.01,4.0
1.41,5.64,-7.67,-0.05,0.01,-0.01,2.0
2.83,1.69,-9.03,0.0,0.01,-0.01,3.0
0.11,2.1,-9.37,0.0,0.01,-0.01,2.0
2.82,1.69,-9.04,0.0,0.01,-0.01,3.0
2.5,6.73,-6.51,-0.01,0.02,-0.01,2.0
1.23,-3.82,-8.94,0.03,-0.01,0.03,2.0
1.9,4.87,-8.09,0.0,0.02,-0.01,0.0
2.81,1.71,-9.04,0.0,0.01,-0.01,3.0
-3.54,-0.9,-8.91,0.0,0.01,-0.01,4.0
-2.85,-2.96,-8.74,0.0,0.01,-0.01,4.0
2.8,1.7,-9.05,0.0,0.02,-0.01,3.0
2.81,1.7,-9.06,0.0,0.01,-0.01,3.0
0.55,0.59,-10.38,0.06,0.3,-0.07,2.0
2.8,1.69,-9.05,0.0,0.01,-0.01,3.0
2.82,1.69,-9.04,0.0,0.01,-0.01,3.0
2.1,1.67,-9.25,0.0,0.01,-0.01,0.0
-6.01,3.68,-6.04,0.0,0.19,0.0,4.0
2.8,1.69,-9.04,0.0,0.01,-0.01,3.0
-9.4,2.35,-1.36,0.0,0.01,-0.01,1.0
2.82,1.69,-9.03,0.0,0.01,-0.01,3.0
-9.55,1.51,-1.42,0.0,0.01,-0.01,1.0
-5.97,2.85,-7.04,-0.01,0.02,-0.01,1.0
1.21,-0.87,-12.36,-2.02,1.56,-0.49,2.0
2.83,1.69,-9.04,0.0,0.02,-0.01,3.0
-3.45,-1.31,-8.88,0.01,0.01,0.0,4.0
1.41,0.11,-9.48,0.0,0.01,-0.01,0.0
2.81,1.7,-9.03,0.0,0.01,-0.01,3.0
2.81,1.7,-9.04,0.0,0.01,-0.01,3.0
2.8,1.67,-9.04,0.0,0.02,-0.01,3.0
2.81,1.7,-9.06,0.0,0.01,-0.01,3.0
2.81,1.71,-9.05,0.0,0.01,-0.01,3.0
-9.4,2.33,-1.41,0.0,0.02,-0.01,1.0
2.81,1.69,-9.03,0.0,0.01,-0.01,3.0
-0.99,4.8,-8.31,0.0,0.02,-0.01,0.0
2.81,1.69,-9.02,0.0,0.01,-0.01,3.0
2.81,1.71,-9.07,0.0,0.01,-0.01,3.0
1.79,2.95,-8.98,0.03,0.02,0.05,0.0
2.8,1.68,-9.03,0.0,0.01,-0.01,3.0
2.82,1.69,-9.04,0.0,0.01,-0.01,3.0
2.82,1.69,-9.03,0.0,0.01,-0.01,3.0
2.32,4.66,-7.76,0.14,0.35,-0.09,4.0
0.88,0.41,-9.56,0.01,0.03,-0.01,2.0
2.81,1.69,-9.04,0.0,0.01,-0.01,3.0
2.06,1.45,-9.26,0.0,0.02,-0.01,0.0
1.74,4.71,-8.24,0.0,0.02,-0.01,0.0
0.47,4.68,-8.44,0.0,0.01,-0.01,0.0
1.9,4.95,-8.05,0.0,0.02,-0.01,0.0
-6.71,3.35,-6.17,0.0,0.01,-0.01,1.0
2.83,1.69,-9.02,0.0,0.01,-0.01,3.0
2.8,1.69,-9.03,0.0,0.01,-0.01,3.0
2.82,1.7,-9.05,0.0,0.01,-0.01,3.0
-9.43,2.3,-1.42,-0.01,0.01,-0.01,1.0
2.82,1.69,-9.05,0.0,0.01,-0.01,3.0
2.8,1.67,-9.04,0.0,0.01,-0.01,3.0
2.82,1.68,-9.05,0.0,0.01,-0.01,3.0
-9.57,1.39,-1.49,0.0,0.01,-0.01,1.0
-5.94,3.69,-6.66,0.0,0.01,0.0,1.0
-9.58,1.39,-1.49,0.0,0.02,-0.01,1.0
-9.43,2.25,-1.45,0.0,0.02,-0.01,1.0
-6.39,2.92,-6.67,0.0,0.02,-0.01,1.0
-5.83,3.25,-6.96,-0.01,0.02,-0.01,1.0
-0.95,4.82,-8.29,0.0,0.01,-0.01,0.0
3.89,2.84,-8.34,0.08,-0.02,-0.18,4.0
2.82,1.69,-9.03,0.0,0.01,-0.01,3.0
2.82,1.68,-9.04,0.0,0.01,-0.01,3.0
-5.99,3.69,-6.63,0.0,0.01,-0.01,1.0
1.7,-2.24,-13.89,-0.86,0.06,0.27,2.0
6.64,-6.17,-3.38,0.0,0.02,-0.01,1.0
2.8,1.7,-9.05,0.0,0.01,-0.01,3.0
2.79,1.68,-9.01,0.0,0.01,-0.01,3.0
2.81,1.7,-9.05,0.0,0.01,-0.01,3.0
2.8,1.67,-9.02,0.0,0.01,-0.01,3.0
-0.94,4.83,-8.29,0.0,0.02,-0.01,0.0
2.71,1.64,-9.1,0.0,0.01,-0.01,3.0
-9.42,2.28,-1.39,0.0,0.02,-0.01,1.0
1.8,5.62,-7.7,0.0,0.02,-0.01,0.0
-9.42,2.29,-1.41,-0.01,0.02,-0.01,1.0
0.47,4.69,-8.44,0.0,0.01,-0.01,0.0
-4.3,-4.72,-7.24,0.0,0.02,-0.01,4.0
-2.05,-0.61,-8.85,-0.02,-0.1,0.05,2.0
-4.95,-4.1,-7.19,0.0,0.02,-0.01,4.0
2.81,1.69,-9.05,0.0,0.01,-0.01,3.0
-2.52,7.02,-6.22,0.0,0.02,-0.01,0.0
-3.92,-4.92,-7.31,0.0,0.01,-0.01,4.0
2.83,1.67,-9.04,0.0,0.01,-0.01,3.0
